1985	The Plaza Accord	Reagan Administration	An agreement that forced Japan and Germany to accept a devaluation of the dollar against the yen and the Deutschmark. With this agreement, the USA used political muscle to force their allies to accept economic policies harmful to themselves, in particular putting an end to the rise of Japan to become the No.1 economic superpower 
1985	The WELL - Whole Earth 'Lectronic Link'	Stuart Brand, Larry Brilliant	The WELL is known as the world's first and most influential online community. It started as a dial-up bulletin board system (BBS) in 1985 around writers and readers of the Whole Earth Catalog. The experience on The WELL inspired Howard Rheingold to coin the term "Virtual Community".
1986	Big Bang: London Stock Exchange 	Margaret Thatcher	Deregulation of the financial markets and introduction of new technologies for computerized trading, taking effect on October 28. This sparked an expansion of financial markets that, in spite of the global financial crisis in 2008, still continues.
1986	Chernobyl disaster		On April 28, the nuclear power plant exploded in the Ukraine, releasing large quantities of nuclear radition, spreading over the USSR and Western Europe. This gave a major boost to the environmental movement and the Green political parties.
1986	First use of DNA fingerprinting in a criminal investigation		Richard Buckland was the first person to be exonerated for a crime using DNA fingerprinting.
1986	Perestroika / Glasnost	Mikhail Gorbachev	Gorbachev, then head of state of the Soviet Union, tried to initiate economic  and social reforms to revive the stagnating economy. According to Manuel Castells, the old "industrialism" had fallen into a crisis in the early 1970s in the East and the West, for mostly the same reason (growing complexity). While the West was able to develop "informationalism" as a new mode of production, the Soviet reforms failed and the Union collapsed by the end of the decade.
1986	Society of Mind	Marvin Minsky	In his book and theory Minsky introduced the term agent. Agents can be connected and composed into larger systems called 'societies of agents'. Together, societies of agents can perform functions more complex than any single agent could, and ultimately produce the many abilities we attribute to minds. 
1986	Special Purpose Vehicles (SPV)	Michael Milken et al.	When US tax rule permitted the tranching of credit risk, the separation of risk with Collateral Debt Obligations (CDOs) began to proliferate. Firms created legal entities commonly registered in tax havens, so-called Special Purpose Vehicles (SPV) that allow tax avoidance by hiding ownership and debt. As a result, they are tied to some of the most notorious scandals of the last 30 years, such as Michael Milken’s junk-bond fraud (1980s), the Enron scandal (early 2000s), and the subprime mortgage meltdown (2007-08).
1986	Wackersdorf Nuclear Reprocessing Plant	Franz Josef Strauss	Attempts to build a nuclear reprocessing plant in Wackersdorf, Bavaria, lead to massive protests which become formative for a whole generation.
1987	Black Monday		Spreading from Hong Kong, the market crash hit the USA on October 19 and triggered the largest one-day decline in the history of the Dow Jones Index. The widespread application of computerized risk-assessment and diversification models inadvertently introduced a new kind of risk into the financial markets by producing false prices for rare events.
1987	First Intifada		Uprising by unarmed Palestinian youths throwing stones, against the occupation of the Westbank and Gaza strip. It triggered massive investments in Israeli military technology for asymmetric urban warfare.
1987	Information Visualization	SIGGRAPH	This issue of Computer Graphics magazine laid the ground for what is today most often referred to as Information Visualization, the computer supported "study of (interactive) visual representations of abstract data to reinforce human cognition", today considered one of the pillars of Big Data analytics.
1987	Istanbul Biennial		This biennial, situated at the border between Europe and Asia, has established itself as an early and important node in the globalization of contemporary art.
1987	Volatility Smile		The "Volatility Smile" is a pattern in the pricing of financial derivatives. It first appeared with the 1987 crash due to the failure of the Black Scholes model to calculate prices for low probability events ("fat-tails"). It is a prime cause for the reevaluation of the model and has become a constant in financial modeling.
1987	World Population: 5 Billion people		Average annual rate of population change  in the period 1985-90: 1,80% Total population surplus peaks in this period with nearly 90 million people more per year. 
1988	Basel I Accord	International regulation accord, ratified by signing governments	Supervision entity setting recommendations for banking regulations. Basel I set minimal capital requirements for banks against credit risks.
1988	Can the Subaltern Speak?	Gayatri Chakravorty Spivak 	Although Spivak acknowledged the "epistemic violence" done to Indian subalterns, she suggested that any attempt from the outside to ameliorate their condition by granting them collective speech invariably will encounter problems. By speaking out and reclaiming a collective cultural identity, subalterns will re-inscribe their subordinate position in society. 
1988	Global warming	James Hansen	His speech before Congress, on June 23, is a seminal moment in bringing the threat of global warming to the public’s attention. He stated that the evidence of the green house gas effect was 99% certain and called for immediate action.
1988	Morris worm 	Robert T. Morris	One of the first recognized worms to affect the world's nascent cyber infrastructure. It used weaknesses in the UNIX system and replicated itself. The worm was the work of Robert T. Morris, who said he was just trying to gauge how big the Internet was. Now a professor at MIT, he was the first person convicted under the the US Computer Fraud and Abuse Act.
1989	Exxon Valdez Oil Spill		On March 24, the 301 meter long oil tanker Exxon Valdez ran aground a reef in Alaska, causing one of the most devastating oil spills of all times. The event gained notoriety not only because the oil spill happened in a volatile natural habitat but also because of the way how the company managed to evade its responsibility paying only a comparatively minor fine in the end.
1989	Fall of the Berlin Wall		The opening of the border between East and West Berlin on November 9, 1989 signalled the end of Soviet Communism, and was seen as the beginning of a "new world order" and "the end of history" by conservative commentators.
1989	GNU General Public License (GPL)	Richard Stallman, Eben Moglen	This license established the legal framework for Free Software, guaranteeing the right to use, share, modify and share modifications of software. This served as a template for many subsequent alternatives to informatic commodification and the nascent informational commons.
1989	In the Network of Systems	Ars Electronica	This edition was the first large scale international exhibition to address networks as a new paradigm in art and society; showing seminal work by Lynn Hershman Leeson, Jeffrey Shaw, Roy Ascott, Ponton Media group, Station Rose, Radio Subcom and Stadtwerkstatt TV. 
1989	Love Parade	Dr. Motte	Love Parade started as a political demonstration around peace, fun and food justice (Friede, Freude, Eierkuchen) by Berlin DJ Dr. Motte. The spirit of early techno and house emphasized egalitarianism, freedom and decentrality, opposing the cult of the DJ, promoting free love and peaceful anarchy.
1989	Tiananmen Square Massacre		On June 3, the Chinese government started the violent repression against the pro-democracy movement that had begun with student-led protests in April. This set China on the course of authoritarian nationalism which required rapid economic expansion to maintain political stability. 
1989	World Wide Web	Tim Berners-Lee	Hypertext Transfer Protocol (HTTP), the technology underlying the World Wide Web, was developed by Tim Berners-Lee at CERN. His proposal should allow scientists to share papers more efficiently. After first successful communication between a HTTP client and server the CERN website opened in 1990.
1990	City of Quartz	Mike Davis	A master piece of urban sociology which analyzed Los Angeles as a paradigmatic metropolis governed by simulation. Davis analysed and described how the making of myths about the city reinforced urban processes such as fragmentation, degeneration and gentrification.
1990	Dak'Art		First African Art Biennial. Initially alternating between visual art and literature, it as since focussed exclusively on "Contemporary African Art". Referencing Léopold Sédar Senghor’s “First World Festival of Negro Arts”(1966), the biennial is closely bound up in the rhetoric of contemporized pan-Africanism, yet it also connected to the globalized field of contemporary art. 
1990	Electronic Frontier Foundation (EFF)	Mitch Kapor, John Perry Barlow, John Gilmore	The Electronic Frontier Foundation, founded in July 1990 in response to a basic threat to free speech, is the leading nonprofit organization defending civil liberties in the digital world and ensuring that rights and freedoms are enhanced and protected as our use of technology grows. 
1990	Flexible accumulation	David Harvey	New systems of marketing and production, characterized by more flexible labour processes, coupled with revival of entrepreneurialism, cultural turn to postmodernism and increased precarity for workers; became the dominant labour regime in informational capitalism.
1990	Gender Trouble	Judith Butler	Book that introduced the notion that gender is performed, and therefore a dynamic dimension of identity. Foundational for queer studies and the increasingly widespread fluid conceptualization of gender and sexuality.
1990	German Reunification		The process of German Reunification began with the fall of the Berlin Wall in 1989 and was concluded by the German Democratic Republic formally joining the Federal Democratic Republic on October 3, 1990. This effectively ended all hopes that had been harbored by leftists in East Germany for a chance to develop a Third Way. Economically it meant the annexation of East Germany (see Treuhandanstalt).  
1990	Gulf War		The Gulf War (August 2, 1990 - February 28, 1991) was a war between an US-led coalition and Iraq in response to Iraq's occupation of Kuwait. It was accompanied by various technological and media "innovations" such as live frontline reporting by CNN, the notion of "smart bombs" and the introduction of the "bomb eye's view", a camera located in the head of a missile showing images from the approaching target.
1990	Human Genome Project	US National Institute of Health (NIH) and the Department of Energy with international partners	Start of the effort to sequence all 3 billion letters, or base pairs, in the human genome, successfully concluded in 2003. All data generated was made available freely on the Internet underpinning the fact that the Humane Genome Project was a major step in analysing life as an informational system. The Human Genome Project is part of a microbiology revolution, potentially initiating the next techno-economic paradigm after the information revolution.
1990	Lean Production 		The advantages of new production methods pioneered by Toyota are recognized in a MIT study published as a book. Lean Production becomes the new global norm in industry. 
1990	Treuhandanstalt: Economic Reunification of Germany		Although created when the German Democratic Republic was formally still independent, the Treuhandanstalt's job was to oversee the privatization of East German industry and business; according to critics, it acted like a corporation performing a hostile takeover, resulting in near complete destruction of the industrial base of the former GDR. 
1991	Algerian Civil War		In December, after the new and popular Islamist party, the Islamic Salvation Front (FIS), was poised to win the elections, a military coup occurred. A civil war started slowly, took up ferocity in the coming years, killing between 100.000 and 250.000 people. It ended 2002. A splinter group rejected the peace accord and pledged support to al-Qaeda.  
1991	Economic liberalization in India	Narasimha Rao (Prime Minister)	In a series of economic reforms, India changed course from a semi-socialist economy towards a neoliberal paradigm integrating it into world economy, in particular as a provider of outsourced services. Bangalore turned into a global IT hub.
1991	Information Super Highway 	Al Gore	The passing of the "High Performance Computing Act" (HPCA) on December 9, marked the beginning of significant investment in the Internet and gradually turned it into a public utility. It became the founding act for what then was called "The Information Super Highway." 
1991	Linux	Linus Torvalds	Linus Torvalds released the first version of Linux, a free version of Unix. The success of Linux sparked the Free, Libre and Open Source Software revolution and made commons-based peer production an attractive alternative to the traditional ways of working.
1991	Pretty Good Privacy (PGP)	Phil Zimmerman	The first easy to use encryption program. In 1993 its creator became the target of a criminal investigation for allegedly breaking US export regulations concerning cryptography. This was the starting point of the “Crypto Wars” a struggle between the US Government which was trying to inhibit the widespread use of strong crypto, and those who advocated its usage as a civil right. 
1992	GLOBEX	CME Group	Contrary to trading floors where human traders negotiate prices by open outcry, GLOBEX facilitates electronic access to a wide array of markets globally. While human error declined, fat thumb incidents, glitches and cancelled trades occur regularly. Conceived in 1987, this electronic trading platform was launched in 1992. 
1992	Maastricht Treaty	.	The Maastricht Treaty, signed on February 7, 1992, created the European Union and the legal basis for the introduction of the euro. It had been preceded by fierce debates between France and Germany. The latter only agreed to the common currency on the condition that tight fiscal policies were adopted. States agreed to an annual deficit of no more than 3% and a debt to GDP rate of less than 60%. Almost all countries have broken these rule since then.
1992	Mosaic (first web browser)	NCSA, Marc Andreessen	Mosaic, a multiplatform browser developed at National Center for Supercomputing Applications (NCSA) by Marc Andreessen, became the first widely used browser. Andreessen went on to become the founder of Netscape. 
1992	Point-of-Sale Software	Martin Goodwin, Bob Henry	The first point of sale software (POS) that could run on the Microsoft Windows platform IT Retail. The development of all-in-one POS technologies in retail handles customer-based functions, but more importantly exerts management control functions on members of staff.
1992	Raqs Media Collective	Jeebesh Bagchi, Monica Narula and Shuddhabrata Sengupta	Raqs became co-founders of the Sarai program at the Centre for the Study of Developing Societies in 2000; together with Sarai they edited the Sarai Readers book series. In the early 2000s, their work focused on the digital commons from a post-colonial perspective, resulting in Opus, Raqs' contribution to Documenta 11. Since then, Raqs Media Collective have become internationally recognized contemporary artists.
1992	Rio Declaration on Environment and Development	UN	Signing of the first global treaty aimed at reducing carbon emmission in order to avoid climate change. The event was not only of ecological significance but appeared to point to the possibility of global democracy.
1992	SOD	jodi.org	Jodi, or jodi.org, is a collective of two internet artists: Joan Heemskerk and Dirk Paesmans. SOD is one of the earliest artworks engaging with computer games. A severe modification of the MS-DOS game Wolfenstein 3D (1992) deconstructed it into a hyper-minimalist black-and-white maze of geometric forms and pixel patterns.   
1993	A Rape in Cyberspace	LambdaMOO	This describes a “cyberrape” in a multi-player computer game or MUD called LambdaMOO, the repercussions of this act on the virtual community and subsequent changes to the design of the MUD program. LambdaMOO, which is a virtual community still in existence, allows players to interact using avatars.
1993	Automated guided vehicles		The development of unmanned Automated Guided Vehicles came into use in the port of Rotterdam. They are controlled by a computerized Process Control System; by minimizing the role of humans, it forms an important step in making sea-to-land connections in global logistics chains less prone to strikes.
1993	Clipper Chip	NSA	A backdoor that should have been built into all communication devices to allow US secret services access to encrypted communication. It was defeated after strong opposition by civil society, most notably the EFF.
1993	Cyberwar is coming		The publication of the Rand corporation study "Cyberwar is coming" announced the beginning of a new paradigm of networked conflict. The study claimed that in asymmetrical warfare a supposedly inferior, but networked and decentralized opponent could create serious trouble for traditional military organizations. 
1993	First World Trade Center Bombing 		The bomb attack on the World Trade Center was the first severe act of terrorism on U.S. soil carried out by extremists trained in an al-Qaeda training camp in Afghanistan.
1993	Interactive Plant Growing	Christa Sommerer, Laurent Mignonneau	In this interactive installation, a 3D garden of plants is growing in interaction with viewers/participants who touch real plants; exemplary for a new type of interactive work using high-end computing and concepts such as Artificial Life; other works of a similar kind, also produced at Institute for New Media, Frankfurt/M, were Terrain 01, Ulrike Gabriel, and Dialogue with the Knowbotic South by Knowbotic Research.
1993	Next Five Minutes		This conference in Amsterdam in January 1993 inaugurated the discourse on "tactical media" in connection with the "camcorder revolutions." Followed by three more conferences in 1996, 1999 and 2004, N5M opened the discussion on the political implications of low cost electronic media and the net.
1993	WIRED	Louis Rossetto, Jane Metcalfe	With its fascination for cyberspace, digital technology, new economy and libertarian policy, it became the cult magazine of the 1990s. The strongest influence on its editorial outlook came from techno-utopian Stewart Brand, long time chief editor Kevin Kelly and Nicholas Negroponte from MIT Media Lab. Headquartered in San Francisco, it was called the "zentralorgan" of the Californian ideology, a fertile ground for free-market ideas.
1994	Amazon.com		Amazon.com, founded on July 6, 1994 in Seattle, Washington, is the largest Internet-based retailer in the United States. As of 2015 it is the world's largest provider of cloud computing services.
1994	Bangemann Report	Martin Bangemann	The Bangemann Report on "Europe and the Global Information Society" sets Europe on to a neoliberal and corporate digital future, by talking only about e-commerce, e-government, pay-TV and on-demand services; ignores all the potential benefits of emancipatory peer-to-peer communications.
1994	Chiapas Uprising: Networked Conflict	Subcomandante Marcos	On the January 1, 1994, the previously unknown indigenous army “Ejército Zapatista de Liberación Nacional” (Zapatista's Army of National Liberation - EZLN) entered several cities in Southern Mexico in an armed uprising, because the North America Free Trade (NAFTA) agreement threatened their livelihood. This marked the beginning of the first globalized networked conflict in the neoliberal era. 
1994	Digital Zapatismo	Subcomandante Marcos	Three days after the Chiapas uprising, on January 3, Subcomandante Marcos addressed a global audience directly from out of the Lacandono jungle by using a network connection. This marked the coming true of the prediction of netwar, a new type of asymetrical conflict where network communications play an increasingly important role.
1994	End of Apartheid in South Africa 	Nelson Mandela	The election of Mandela as President ended, in effect, the regime of racial segregation that was officially introduced in 1948, but had roots at the beginning of the colonial era in the late 18th century. It also enabled the integration of South Africa into the world economy and the formation of the BRICS countries.
1994	GeoCities		First free "social network" with 15 MB free space. Yahoo bought the Web community site for 3.6 billion US$ in 1999.
1994	NAFTA Treaty		This treaty was to eliminate barriers to trade and investment between the U.S., Canada and Mexico. The first, major international trade treaty of what would grow over the next three decades into a global, neoliberal economic regime. 
1994	Peso Crisis (Mexican Financial Crisis)		Mexican financial crisis – first of the big recent developing country financial crises. It turned Mexico into a laboratory for the "austerity medicine" administered by the IMF. 
1994	W3 Consortium	Tim Berners-Lee et al.	In 1994, the W3 Consortium was formally established. It oversees development of the web technology standards and promotes web interoperability.
1994	Yahoo! 	Jerry Yang, David Filo	Yahoo! which stands for “Yet Another Hierarchically Organized Oracle” globally amplified the fact that students can create a multinational company out of their dormitory.  Yahoo! survived to this date offering virtual community functions that transfer earlier Internet community oriented technologies to the WWW. 
1995	Apache Webserver		In 1995, the widely and most popular open source webserver Apache was released. As of 2015, it serves 50% of the worldwide active websites.
1995	Brent Spar	Shell, Greenpeace	Brent Spar E was an oil storage and loading facility in the North Sea. Once it was no longer needed for operations, Shell planned to sink it. Greenpeace mounted an extensive campaign against that and forced Shell to agree to the more expensive on-shore disposal, even though it had been approved by the UK government. A major victory for the European environmental movement. 
1995	Browser Wars (Internet Explorer 1) 	Microsoft	Microsoft, widely regarded as having missed the Internet revolution, released version 1.0 of Internet Explorer launching the "browser wars" with first Netscape, later Mozilla, leading to countless interoperability problems for websites because of proprietary technologies.
1995	First Netstrike	Tommaso Tozzi / Stranonet	The first Netstrike, on Dec 21, 1995, marks the first known act of electronic civil disobedience carried out as a cultural form of protest. French government webservers were targeted simultaneously with French embassies in protest against French nuclear tests in the Mururoa Atoll.
1995	GPS (Global Positioning System)	US Department of Defence	US Department of Defence project with initially 24 satellites, declared a dual use project by Bill Clinton and since has become widely used. Presently does not discriminate civilian users by giving them worse data. A number of new systems under development by EU, Russia, India.
1995	Netscape IPO	Marc Andreessen, Netscape developer, Jim Clark, founder	The Initial Public Offering on September 8, 1995 of Netscape, a company distributing a free Internet browser, resulted in a market value of US$ 2.9 billion. This marked the beginning of the Dot-Com era aka the New Economy, a stock market driven economic expansion which ended in 2000. 
1995	Nettime	Geert Lovink, Pit Schultz, Felix Stalder, Ted Byfield	The mailing list nettime was established as a forum for net critique – a critical discourse on the net from within the net. Over the years, nettime grew to 4500 subscribers and it is still ongoing, still influential and remains one of the longest running independent online projects.
1995	Ogoni Resistance	Ken Saro-Wiwa	The writer and civil rights activist was executed following a political trial by the Nigerian government. He had lead a non-violent campaign by the Ogoni people against the extreme environmental damages caused by oil extraction, mainly by Royal Dutch Shell, in their homeland Niger Delta. 
1995	Schengen Agreement	European Union	Although signed in 1985, the agreement came into force only in 1995; Abolished border controls between signatory states, but necessitating more rigorous control of external borders, accompanied by introduction of the Schengen Information System (shared secret police data base on migrants, football hooligans and political activists).
1995	Virtual Reality Markup Language (VRML)		VRML became the first web based 3D format. At Siggraph 1997 VRML was promoted as if the Internet would be turned into three-dimensional cyberspace, a prophecy that has failed to materialize at the time of writing (2015).
1995	Wiki	Ward Cunningham	A wiki is a website where each reader can become a writer and change each page. The Wiki principle restored some of the original ideas behind the WWW, as it was heading for its commodification.
1996	A Declaration of the Independence of Cyberspace	John Perry Barlow	This manifesto was published on February 8, 1996 in response to the "Telecommunication Act of 1996" in the USA, arguing against Internet regulation and that governments “have no sovereignty” online. It deals with the struggle between individual freedom and oppression by political and corporate forces. 
1996	Attempted Censorship of Radikal Magazine 	German State Prosecutor	The German state prosecutor ordered Internet service provider to block access to Dutch ISP xs4all which hosted the website of leftwing Radikal magazine. After public protests and numerous mirror sites, the order was taken back.
1996	Dolly the sheep	Ian Wilmut, Keith Campbell	Dolly the sheep, the first mammal to be cloned from an adult somatic cell, created a huge media response making it look as if a new level of biotechnology and cloning was just around the corner.
1996	RTMark: Sim Copter Hack	RTMark	In 1996, ®TMark channeled $5000 from a New York shopkeeper as a reward to a Silicon Valley programmer for creating a digital "prank" in SimCopter, a commercial computergame. According to the artists, 80,000 copies of the game were distributed before the hack was discovered.
1996	Telecommunications Act		This legal framework signed on February 8, by Bill Clinton, fostered deregulation of the converging broadcasting and telecommunications markets and was the first step to a global e-commerce market. It was also the first bill signed in cyberspace.
1996	The Internet Archive	Brewster Kahle	The Internet Archive is founded under the slogan "Universal access to human knowledge". As of 2014, the archive provides access to 18.5 Petabytes of texts, audio, moving images, software and archived web pages. The "Wayback Machine" facilitates the retrieval of time-stamped snapshots of the archived Web pages.
1996	Viagra (Sildenafil)	Pfizer	The drug is used to address erectile dysfunction. Important step in making functional enhancement through drugs mainstream.
1996	WIPO Copyright Treaty		This treaty set the international framework for ever harsher copyright laws, empowering rights holders at the expense of the public and rights for free use. It was implemented in the US in the Digital Millennium Copyright Act (1998) and the EU Copyright Directive (2001).
1996	Workfare	Bill Clinton	The "Personal Responsibility and Work Opportunity Reconciliation Act" promised to "end welfare as we knew it." The bill introduced a lifetime limit of five years for benefit eligibility, compulsory attendance at unpaid jobs in return for benefits and heavy sanctions for non-attenders. Similar programs were later introduced by "third-way socialists" such as Tony Blair in the UK and Gerhard Schröder in Germany.
1997	Asian Financial Crisis		The bursting of a real estate bubble in Thailand triggered the Asian Financial Crisis as investors withdrew short-term capital from emerging economies. This reaction caused a severe and sharp financial and economic crisis in one Asian country after another. Biased Western media reporting blamed Asian "crony capitalism" for the crisis. It spread quickly to Brazil, Russia and Argentine. IMF administered austerity policies caused a "Return to Depression Economics" (Paul Krugman).
1997	Cities on the Move (exhibition)	Hou Hanru, Hans Ulrich Obrist	An influential exhibition that was one of the first to grapple with the impact of globalization and hyper-urbanization. Asian mega-cities were defined as the backdrop necessary for the understanding of contemporary Asian art. Showing contemporary architecture and art from Asian cities, the exhibition reflected in which ways different conceptions of western ideas of ‘modernity’ and utopia might be at play in today’s ‘East’.
1997	d x: Documenta 10	Catherine David	Attempted an appraisal of 30 to 40 years of critical conceptual and contemporary practices, reconnecting audiences with key works by, for example, Hans Haake and Gordon Matta-Clark. Presented Makrolab, an electromagnetic research station founded by Marko Peljhan, and allowed "Hybrid Workspace" to happen, a nettime moderated open art and activism lab used by different groups for a couple of weeks. 
1997	Dublin Convention		The Dublin Convention was introduced by EU members and some associated nations to curtail the options of refugees to seek asylum where they find it desirable and force them to do so in the nation which was their first port of call. This shelters the rich Northern nations from influx of unwanted migrants while it puts the greatest burden on poorer border nations. The system effectively collapsed during the refugee crisis in 2015.
1997	Electronic Communication Networks (ECNs)	Jeff Citron and Josh Levine 	Founded in 1996, Island became the first ECN for trading stocks electronically outside exchanges. ECNs were instrumental for breaking the dominant influence of financial power elites by providing easy and cheap access to trading. They mark the outset of the proliferation of algorithmic trading, virtual exchanges and dark pools.
1997	Immaterial Labor	Maurizio Lazzarato	The term immaterial labor denotes a change in working practices in the wake of the transition from Fordism to informationalism. Refers to new working practices inside corporations as well as activities usually not recognized as labor that create brand value. 
1997	Introduction to net.art	Alexei Shulgin & Natalie Bookchin	This served as a tongue-in-cheek manifesto for the net.art scene of the 90’s. It offered a simplified beginners' guide to net.art, followed by DIY instructions on how to become a net artist. In 1999 this text was exhibited engraved in stone. This piece effectively embodies the transgressive, and humorously self-aware style of the early net.art
1997	Kyoto Protocol	UN	The Kyoto Protocol, adopted on December 11, is an international agreement which commits its parties by setting internationally binding emission reduction targets. It is based on the recognition that industrial countries have a higher responsibility for the reduction of greenhouse gases. However, it also paved the way for carbon emission trading.
1997	New Labour Election Victory and Third Way Socialism 	Tony Blair, Gerhard Schröder, Romano Prodi, Bill Clinton	After winning an absolute majority in general elections on May 1, 1997, Tony Blair became the most vocal of so-called "Third Way Socialists" who combined fiscal conservativism (an economic doctrine of the political right), with modest social and cultural liberalism. Third Way Socialists continued the dismantling of the welfare state begun by Thatcher and Reagan and paved the way for the growth of a financialized economy dominated by stock exchanges. 
1997	Sensation (exhibition)	Charles Saatchi and the YBAs	The Young-British-Artists (YBAs) who went through their formative years during Thatcherism are shown in a seminal exhibition at the Royal College put together by the collector and gallerist Charles Saatchi, one half of advertisement agency Saatchi & Saatchi. Sensation celebrated the new marriage of art and finance and marks an early high point of the rapid expansion of the art market and increasing role of speculative capital.
1998	Anti-social behaviour order (ASBO)	Tony Blair	A new type of civil order introduced in the UK against people who have shown "anti-social behavior" but which wasn't severe enough to warrant criminal prosecution. ASBOs revealed the illiberal core of Blair's Third Way socialism.
1998	Astrobiology Roadmap	NASA	NASA's Ames Research Centre is increasingly involved in designing and funding research into extreme life forms and microbial bioremediation. This is about recreating life beyond its limits. The importance of the NASA program lies in the translational role it is playing between speculative science and (post)industrial applications.
1998	Bailout of Long Term Capital Management  (LTCM)	John W. Meriwether	LTCM was a hedge fund whose board of directors included Nobel Prize winners Myron Scholes and Robert Merton. The fund was initially successful but lost $4.6 bn in less than four months in the wake of the financial crises in Asia (1997) and Russia (1998). Due to high leverage financing, its collapse threatened the entire financial system. The U.S. Federal Reserve – led by its chairman Alan Greenspan – and the major global investment banks agreed to bail out LTCM with a $3.6 bn recapitalization. 
1998	Electronic exchanges authorized	US Securities and Exchange Commission (SEC)	Electronic exchanges use information technology to create virtual marketplaces. Algorithmic and other alternative trading systems have changed the financial infrastructure radically. While algorithms were already used by large market players to control price execution, new firms appeared that took advantage of speed and low latency by making small profits per trade with high trading volume.
1998	First female CEO in the Internet era	Meg Whitman	She became the first female CEO of the new economy IT sector (a notoriously male dominated business field). eBay had 30 employees and $4 million in revenues when she started. She left the company in 2008 when it had 15,000 employees and $8 billion in annual revenues.
1998	Google, Inc.	Larry Page, Sergey Brin	Google was incorporated based on a university research program. Within the space of a few years Google established itself as the world's most popular web search engine based on their innovative search algorithm (page rank). Since then, expanded into ever larger number of fields and has become the world's most valuable company in 2016. 
1998	Great War of Africa		The Second Congo War began; 3,900.000 people were killed before it ended in 2003, making it the bloodiest war, to date, since World War II. A significant part of the war was financed through the mining of "conflict-minerals" used in the global IT industry, such as gold, copper and coltan.
1998	Human embryonic stem cells research	James Thomson, Jeffrey Jones	A team at the University of Wisconsin, Madison, led by James Thomson and Jeffrey Jones, reports the creation of the first batch of human embryonic stem cells, which they derived from early embryos (Nov 6, 1998) kickstarting hopes in new forms of medical research and Life Science industries. 
1998	International Space Station (ISS)	5 space agencies	The International Space Station is the largest and most complex human construction in outer space and the only one that can be seen by the naked eye. This most advanced attempt to date to create a permanent settlement in space could prefigure future voyages to Mars. Most importantly, it is not a national effort but an international cooperation of more than a dozen countries, including the US and Russia, making exploration of space a universal human topic. 
1998	PayPal		PayPal was founded in 1998 as a worldwide online payment system, providing critical infrastructure for e-commerce and a means to transact global payments for average users.
1998	SYNWORLD playwork:hyperspace	public netbase / Konrad Becker	This was one of the first large exhibitions dedicated to the relationship between Art and Computer Game Culture. “Synreal: The Unreal Modification” was part of the main exhibition, and it is now remembered as one of the first collective shows where artists were invited to create Game Art-based installations.
1998	US Embassy Bombings and the Rise of Islamic Terrorism		The bombing of the US embassies in Nairobi, Kenya, and Dar es Salaam, Tanzania, brought Osama Bin Laden and Al-Qaeda to the notice of the world public. 
1999	B92 Serbian Independent Radio 		With the support of a European network of media activists, the independent radio station was able to broadcast through the bombing of Belgrade, counteracting both state and NATO propaganda.
1999	Bologna Declaration	Ministers of Education of 29 European countries 	The “European Higher Education Area” was established with the aim to achieve greater compatibility and comparability between the different national systems. This standardization process with BA, MA and PhD introduced a European knowledge market and expanding the global business with student fees. The effects of the “industrialization of education” were widely criticized in various student protest movements in the following years.
1999	Consume	James Stevens	First workshops of the wireless community experiment Consume. The project aimed at creating wireless peer-to-peer networks. While Consume petered out in the 2000s, similar initiatives such as Freifunk, Germany, and Guifi, Spain, became large scale alternative network providers creating a wireless commons. 
1999	DeCSS	Jon Lech Johansen	One of the first free softwares to decrypt content on commercially produced DVD discs. DeCSS release resulted in a criminal trial of the authors, the DVD Copy Control Association (CCA) launched numerous lawsuits in the US in an effort to stop its distribution. 
1999	Gramm-Leach-Billey Act		Revocation of the Glass–Steagall Act, an important element of the regulation of the financial industry introduced after the 1929 crash. The deregulation lead to series of mergers of commercial and investment banks and played a major role in creating massive financial institutions and the risks at the heart of the global financial crisis of 2008.
1999	Indymedia		In the context of the "Battle of Seattle" between Nov. 29 and Dec. 3, an independent media center was created to facilitate a counterweight against biased reporting by mainstream media. This marked the launch of the global Indymedia network.
1999	Institutional Racism	Stephen Lawrence, Sir William McPherson	The MacPherson Report into the inquiry of the murder of black teenager Stephen Lawrence concluded that the London Metropolitan Police had been "institutionally racist". Forced the Met to reconsider its policies; first official admission in Europe of institutional racism. 
1999	Introduction of the Euro 	European Central Bank	The new currency was introduced in non-physical form on January 1 by the European Central Bank (ECB) which had been established in the previous year. The currencies of participating countries (the euro zone) were locked at fixed exchange rates against each other. In 2002 the Euro was introduced as physical coins and bills. The Euro reflects the construction of the ECB, which was set up to be independent from direct government influence, with the primary mandate to maintain price stability. 
1999	J18 - Carneval Against Capitalism	Reclaim the Streets	The anarchist network Reclaim the Streets organized a global action day against the increasing power of financial markets on June 18, 1999 (hence J18). Taking the authorities by surprise, 50.000 celebrate a street party in the City of London without the police being able to intervene for several hours. 
1999	Launch of Natural Reality SuperWeed Set 1.0	irational.org, Heath Bunting	It claimed to be a "superweed" genetically engineered to attack commercial agricultural monocroppings. Advertised as being resistant to herbicides such as "Roundup", a version 2 of the set will be released with "more offensive capabilities", should there be no national ban on genetically manipulated crops in the US.
1999	Napster	Shawn Fanning	Established the concept of file sharing and the practice of massive copyright violation. While it was shut down in mid 2000, the practice grew even more popular in the coming years, thanks to new, decentralized technologies such as BitTorrent.
